s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX
,165.41,165.41,165.41,165.41,0.0,1998-07-05,164.55942957246248,65.41256635457408,34.58743364542592,68.58716726340133
,164.33,164.33,164.33,164.33,0.0,1998-07-06,166.05,41.388904123039445,58.61109587696056,58.31417216150528
,163.73,163.73,163.73,163.73,0.0,1998-07-07,166.0156,32.97804376297527,67.02195623702474,53.46012022401412
,163.44,163.44,163.44,163.44,0.0,1998-07-08,165.92417600000002,29.371883283819034,70.62811671618097,51.01934286568368
,162.59,162.59,162.59,162.59,0.0,1998-07-09,165.77512544,20.970374486649547,79.02962551335044,52.42732449788713
,162.49,162.49,162.49,162.49,0.0,1998-07-13,165.52031540480002,20.123872209353262,79.87612779064672,53.892310714568396
,162.85,162.85,162.85,162.85,0.0,1998-07-14,165.21728386432002,32.402865084109045,67.59713491589096,50.1527025380111
,163.77,163.77,163.77,163.77,0.0,1998-07-15,164.94455547788803,54.66527136789916,45.33472863210085,41.98827057756854
,163.35,163.35,163.35,163.35,0.0,1998-07-16,164.69909993009924,46.01692816991804,53.983071830081975,35.183845194087624
,164.01,164.01,164.01,164.01,0.0,1998-07-19,164.47818993708933,58.81546297242877,41.18453702757125,31.673261344241602
,164.04,164.04,164.04,164.04,0.0,1998-07-20,164.2793709433804,59.3628732980777,40.63712670192232,29.083758394624358
,162.41,162.41,162.41,162.41,0.0,1998-07-21,164.10043384904236,31.1988823538928,68.8011176461072,30.787453774142364
,161.57,161.57,161.57,161.57,0.0,1998-07-22,164.04,23.89584696265567,76.10415303734433,35.07162423425162
,161.52,161.52,161.52,161.52,0.0,1998-07-23,163.6942,23.486785393816586,76.51321460618341,38.662585229874665
,160.14,160.14,160.14,160.14,0.0,1998-07-26,163.346328,14.766093277515239,85.23390672248476,45.023630872893634
,160.96,160.96,160.96,160.96,0.0,1998-07-27,162.76918896,33.19106075047398,66.80893924952602,42.742480398125316
,161.21,161.21,161.21,161.21,0.0,1998-07-28,162.2959349472,38.27598699852406,61.72401300147595,38.88358951909063
,160.97,160.97,160.97,160.97,0.0,1998-07-29,161.90786665670402,35.07266838741042,64.92733161258958,37.07780426030833
,161.29,161.29,161.29,161.29,0.0,1998-07-30,161.58965065849728,43.02037898311678,56.97962101688322,32.454091814999956
,161.85,161.85,161.85,161.85,0.0,1998-08-02,160.14,55.05525176158999,44.94474823841001,27.985374156635963
,162.07,162.07,162.07,162.07,0.0,1998-08-03,160.17419999999998,59.27888567216472,40.72111432783529,26.099853594174657
,162.16,162.16,162.16,162.16,0.0,1998-08-04,160.25003199999998,61.1460081297234,38.8539918702766,25.338286127229086
